"key","value","date"
"—",1,"01/01/09"
"—",3,"03/01/09"
"—",98,"04/01/09"
"—",206,"05/01/09"
"—",8,"06/01/09"
"—",186,"07/01/09"
"—",6,"08/01/09"
"—",235,"09/01/09"
"—",221,"10/01/09"
"—",78,"11/01/09"
"—",38,"12/01/09"
"—",213,"01/01/10"
"—",73,"02/01/10"
"—",129,"03/01/10"
"—",219,"04/01/10"
"—",53,"05/01/10"
"—",33,"06/01/10"
"—",233,"07/01/10"
"—",155,"08/01/10"
"—",136,"09/01/10"
"—",37,"10/01/10"
"—",11,"11/01/10"
"—",212,"12/01/10"
"—",1,"01/01/11"
"—",147,"03/01/11"
"—",1,"04/01/11"
"—",1,"05/01/11"
"—",1,"06/01/11"
"—",1,"08/01/11"
"—",1,"09/01/11"
"—",1,"01/01/12"
"—",1,"02/01/12"
"—",1,"03/01/12"
"—",2,"04/01/12"
"—",1,"07/01/12"
"—",1,"08/01/12"
"—",119,"09/01/12"
"—",157,"10/01/12"
"—",52,"11/01/12"
"—",179,"12/01/12"
"—",1,"12/01/14"
"clinton",1,"01/01/09"
"clinton",13,"03/01/09"
"clinton",98,"04/01/09"
"clinton",191,"05/01/09"
"clinton",214,"06/01/09"
"clinton",187,"07/01/09"
"clinton",189,"08/01/09"
"clinton",25,"09/01/09"
"clinton",189,"10/01/09"
"clinton",41,"11/01/09"
"clinton",14,"12/01/09"
"clinton",204,"01/01/10"
"clinton",24,"02/01/10"
"clinton",45,"03/01/10"
"clinton",199,"04/01/10"
"clinton",227,"05/01/10"
"clinton",33,"06/01/10"
"clinton",214,"07/01/10"
"clinton",108,"08/01/10"
"clinton",69,"09/01/10"
"clinton",232,"10/01/10"
"clinton",222,"11/01/10"
"clinton",211,"12/01/10"
"clinton",1,"01/01/11"
"clinton",124,"03/01/11"
"clinton",13,"04/01/11"
"clinton",1,"05/01/11"
"clinton",194,"06/01/11"
"clinton",3,"08/01/11"
"clinton",97,"09/01/11"
"clinton",1,"01/01/12"
"clinton",1,"02/01/12"
"clinton",1,"03/01/12"
"clinton",34,"04/01/12"
"clinton",3,"07/01/12"
"clinton",1,"08/01/12"
"clinton",143,"09/01/12"
"clinton",233,"10/01/12"
"clinton",206,"11/01/12"
"clinton",127,"12/01/12"
"clinton",1,"12/01/14"
"foreign",1,"01/01/09"
"foreign",13,"03/01/09"
"foreign",98,"04/01/09"
"foreign",191,"05/01/09"
"foreign",214,"06/01/09"
"foreign",187,"07/01/09"
"foreign",189,"08/01/09"
"foreign",25,"09/01/09"
"foreign",189,"10/01/09"
"foreign",41,"11/01/09"
"foreign",14,"12/01/09"
"foreign",204,"01/01/10"
"foreign",24,"02/01/10"
"foreign",45,"03/01/10"
"foreign",199,"04/01/10"
"foreign",227,"05/01/10"
"foreign",33,"06/01/10"
"foreign",214,"07/01/10"
"foreign",108,"08/01/10"
"foreign",69,"09/01/10"
"foreign",232,"10/01/10"
"foreign",222,"11/01/10"
"foreign",211,"12/01/10"
"foreign",1,"01/01/11"
"foreign",124,"03/01/11"
"foreign",13,"04/01/11"
"foreign",1,"05/01/11"
"foreign",194,"06/01/11"
"foreign",3,"08/01/11"
"foreign",97,"09/01/11"
"foreign",1,"01/01/12"
"foreign",1,"02/01/12"
"foreign",1,"03/01/12"
"foreign",34,"04/01/12"
"foreign",3,"07/01/12"
"foreign",1,"08/01/12"
"foreign",143,"09/01/12"
"foreign",233,"10/01/12"
"foreign",206,"11/01/12"
"foreign",127,"12/01/12"
"foreign",1,"12/01/14"
"house",1,"01/01/09"
"house",34,"03/01/09"
"house",186,"04/01/09"
"house",84,"05/01/09"
"house",62,"06/01/09"
"house",37,"07/01/09"
"house",226,"08/01/09"
"house",89,"09/01/09"
"house",16,"10/01/09"
"house",120,"11/01/09"
"house",117,"12/01/09"
"house",81,"01/01/10"
"house",139,"02/01/10"
"house",131,"03/01/10"
"house",35,"04/01/10"
"house",93,"05/01/10"
"house",104,"06/01/10"
"house",57,"07/01/10"
"house",184,"08/01/10"
"house",164,"09/01/10"
"house",115,"10/01/10"
"house",92,"11/01/10"
"house",65,"12/01/10"
"house",1,"01/01/11"
"house",124,"03/01/11"
"house",13,"04/01/11"
"house",1,"05/01/11"
"house",194,"06/01/11"
"house",3,"08/01/11"
"house",97,"09/01/11"
"house",1,"01/01/12"
"house",1,"02/01/12"
"house",1,"03/01/12"
"house",52,"04/01/12"
"house",13,"07/01/12"
"house",1,"08/01/12"
"house",151,"09/01/12"
"house",235,"10/01/12"
"house",228,"11/01/12"
"house",132,"12/01/12"
"house",1,"12/01/14"
"obama",1,"01/01/09"
"obama",166,"03/01/09"
"obama",52,"04/01/09"
"obama",113,"05/01/09"
"obama",201,"06/01/09"
"obama",159,"07/01/09"
"obama",13,"08/01/09"
"obama",189,"09/01/09"
"obama",157,"10/01/09"
"obama",67,"11/01/09"
"obama",21,"12/01/09"
"obama",199,"01/01/10"
"obama",19,"02/01/10"
"obama",66,"03/01/10"
"obama",119,"04/01/10"
"obama",50,"05/01/10"
"obama",231,"06/01/10"
"obama",16,"07/01/10"
"obama",155,"08/01/10"
"obama",60,"09/01/10"
"obama",217,"10/01/10"
"obama",4,"11/01/10"
"obama",209,"12/01/10"
"obama",1,"01/01/11"
"obama",147,"03/01/11"
"obama",1,"04/01/11"
"obama",1,"05/01/11"
"obama",1,"06/01/11"
"obama",1,"08/01/11"
"obama",1,"09/01/11"
"obama",1,"01/01/12"
"obama",1,"02/01/12"
"obama",1,"03/01/12"
"obama",2,"04/01/12"
"obama",1,"07/01/12"
"obama",1,"08/01/12"
"obama",34,"09/01/12"
"obama",142,"10/01/12"
"obama",23,"11/01/12"
"obama",2,"12/01/12"
"obama",1,"12/01/14"
"policy",1,"01/01/09"
"policy",13,"03/01/09"
"policy",98,"04/01/09"
"policy",191,"05/01/09"
"policy",214,"06/01/09"
"policy",187,"07/01/09"
"policy",189,"08/01/09"
"policy",25,"09/01/09"
"policy",189,"10/01/09"
"policy",41,"11/01/09"
"policy",14,"12/01/09"
"policy",204,"01/01/10"
"policy",24,"02/01/10"
"policy",45,"03/01/10"
"policy",199,"04/01/10"
"policy",227,"05/01/10"
"policy",33,"06/01/10"
"policy",214,"07/01/10"
"policy",108,"08/01/10"
"policy",69,"09/01/10"
"policy",232,"10/01/10"
"policy",222,"11/01/10"
"policy",211,"12/01/10"
"policy",1,"01/01/11"
"policy",124,"03/01/11"
"policy",13,"04/01/11"
"policy",1,"05/01/11"
"policy",194,"06/01/11"
"policy",3,"08/01/11"
"policy",97,"09/01/11"
"policy",1,"01/01/12"
"policy",1,"02/01/12"
"policy",1,"03/01/12"
"policy",34,"04/01/12"
"policy",3,"07/01/12"
"policy",1,"08/01/12"
"policy",143,"09/01/12"
"policy",233,"10/01/12"
"policy",206,"11/01/12"
"policy",127,"12/01/12"
"policy",1,"12/01/14"
"president",1,"01/01/09"
"president",194,"03/01/09"
"president",148,"04/01/09"
"president",171,"05/01/09"
"president",222,"06/01/09"
"president",163,"07/01/09"
"president",152,"08/01/09"
"president",206,"09/01/09"
"president",181,"10/01/09"
"president",95,"11/01/09"
"president",32,"12/01/09"
"president",11,"01/01/10"
"president",70,"02/01/10"
"president",133,"03/01/10"
"president",176,"04/01/10"
"president",115,"05/01/10"
"president",42,"06/01/10"
"president",64,"07/01/10"
"president",175,"08/01/10"
"president",141,"09/01/10"
"president",38,"10/01/10"
"president",62,"11/01/10"
"president",233,"12/01/10"
"president",1,"01/01/11"
"president",147,"03/01/11"
"president",1,"04/01/11"
"president",1,"05/01/11"
"president",1,"06/01/11"
"president",1,"08/01/11"
"president",1,"09/01/11"
"president",1,"01/01/12"
"president",1,"02/01/12"
"president",1,"03/01/12"
"president",2,"04/01/12"
"president",1,"07/01/12"
"president",1,"08/01/12"
"president",153,"09/01/12"
"president",144,"10/01/12"
"president",44,"11/01/12"
"president",147,"12/01/12"
"president",1,"12/01/14"
"state",1,"01/01/09"
"state",98,"03/01/09"
"state",193,"04/01/09"
"state",109,"05/01/09"
"state",76,"06/01/09"
"state",59,"07/01/09"
"state",40,"08/01/09"
"state",128,"09/01/09"
"state",35,"10/01/09"
"state",100,"11/01/09"
"state",110,"12/01/09"
"state",81,"01/01/10"
"state",121,"02/01/10"
"state",125,"03/01/10"
"state",60,"04/01/10"
"state",101,"05/01/10"
"state",136,"06/01/10"
"state",43,"07/01/10"
"state",160,"08/01/10"
"state",156,"09/01/10"
"state",95,"10/01/10"
"state",74,"11/01/10"
"state",69,"12/01/10"
"state",1,"01/01/11"
"state",174,"03/01/11"
"state",113,"04/01/11"
"state",1,"05/01/11"
"state",23,"06/01/11"
"state",98,"08/01/11"
"state",166,"09/01/11"
"state",1,"01/01/12"
"state",1,"02/01/12"
"state",1,"03/01/12"
"state",137,"04/01/12"
"state",106,"07/01/12"
"state",1,"08/01/12"
"state",192,"09/01/12"
"state",77,"10/01/12"
"state",51,"11/01/12"
"state",178,"12/01/12"
"state",1,"12/01/14"
"white",1,"01/01/09"
"white",194,"03/01/09"
"white",137,"04/01/09"
"white",18,"05/01/09"
"white",229,"06/01/09"
"white",203,"07/01/09"
"white",170,"08/01/09"
"white",218,"09/01/09"
"white",185,"10/01/09"
"white",14,"11/01/09"
"white",231,"12/01/09"
"white",213,"01/01/10"
"white",22,"02/01/10"
"white",28,"03/01/10"
"white",198,"04/01/10"
"white",212,"05/01/10"
"white",28,"06/01/10"
"white",178,"07/01/10"
"white",111,"08/01/10"
"white",69,"09/01/10"
"white",8,"10/01/10"
"white",222,"11/01/10"
"white",211,"12/01/10"
"white",1,"01/01/11"
