"key","value","date"
"bill",1,"01/01/09"
"bill",1,"03/01/09"
"bill",97,"04/01/09"
"bill",13,"05/01/09"
"bill",13,"06/01/09"
"bill",166,"07/01/09"
"bill",1,"08/01/09"
"bill",215,"09/01/09"
"bill",23,"10/01/09"
"bill",34,"11/01/09"
"bill",179,"12/01/09"
"bill",13,"01/01/10"
"bill",171,"02/01/10"
"bill",215,"03/01/10"
"bill",179,"04/01/10"
"bill",225,"05/01/10"
"bill",194,"06/01/10"
"bill",179,"07/01/10"
"bill",31,"08/01/10"
"bill",44,"09/01/10"
"bill",13,"10/01/10"
"bill",215,"11/01/10"
"bill",137,"12/01/10"
"bill",1,"01/01/11"
"bill",1,"03/01/11"
"bill",1,"04/01/11"
"bill",1,"05/01/11"
"bill",1,"06/01/11"
"bill",1,"08/01/11"
"bill",1,"09/01/11"
"bill",1,"01/01/12"
"bill",1,"02/01/12"
"bill",1,"03/01/12"
"bill",2,"04/01/12"
"bill",1,"07/01/12"
"bill",1,"08/01/12"
"bill",97,"09/01/12"
"bill",1,"10/01/12"
"bill",1,"11/01/12"
"bill",1,"12/01/12"
"bill",1,"12/01/14"
"care",1,"01/01/09"
"care",1,"03/01/09"
"care",97,"04/01/09"
"care",13,"05/01/09"
"care",13,"06/01/09"
"care",166,"07/01/09"
"care",1,"08/01/09"
"care",215,"09/01/09"
"care",23,"10/01/09"
"care",34,"11/01/09"
"care",179,"12/01/09"
"care",13,"01/01/10"
"care",171,"02/01/10"
"care",215,"03/01/10"
"care",179,"04/01/10"
"care",225,"05/01/10"
"care",194,"06/01/10"
"care",179,"07/01/10"
"care",31,"08/01/10"
"care",44,"09/01/10"
"care",13,"10/01/10"
"care",215,"11/01/10"
"care",137,"12/01/10"
"care",1,"01/01/11"
"care",1,"03/01/11"
"care",1,"04/01/11"
"care",1,"05/01/11"
"care",1,"06/01/11"
"care",1,"08/01/11"
"care",1,"09/01/11"
"care",1,"01/01/12"
"care",1,"02/01/12"
"care",1,"03/01/12"
"care",2,"04/01/12"
"care",1,"07/01/12"
"care",1,"08/01/12"
"care",97,"09/01/12"
"care",1,"10/01/12"
"care",1,"11/01/12"
"care",1,"12/01/12"
"care",1,"12/01/14"
"house",1,"01/01/09"
"house",34,"03/01/09"
"house",186,"04/01/09"
"house",84,"05/01/09"
"house",62,"06/01/09"
"house",37,"07/01/09"
"house",226,"08/01/09"
"house",89,"09/01/09"
"house",16,"10/01/09"
"house",120,"11/01/09"
"house",117,"12/01/09"
"house",81,"01/01/10"
"house",139,"02/01/10"
"house",131,"03/01/10"
"house",35,"04/01/10"
"house",93,"05/01/10"
"house",104,"06/01/10"
"house",57,"07/01/10"
"house",184,"08/01/10"
"house",164,"09/01/10"
"house",115,"10/01/10"
"house",92,"11/01/10"
"house",65,"12/01/10"
"house",1,"01/01/11"
"house",124,"03/01/11"
"house",13,"04/01/11"
"house",1,"05/01/11"
"house",194,"06/01/11"
"house",3,"08/01/11"
"house",97,"09/01/11"
"house",1,"01/01/12"
"house",1,"02/01/12"
"house",1,"03/01/12"
"house",52,"04/01/12"
"house",13,"07/01/12"
"house",1,"08/01/12"
"house",151,"09/01/12"
"house",235,"10/01/12"
"house",228,"11/01/12"
"house",132,"12/01/12"
"house",1,"12/01/14"
"obama",1,"01/01/09"
"obama",166,"03/01/09"
"obama",52,"04/01/09"
"obama",113,"05/01/09"
"obama",201,"06/01/09"
"obama",159,"07/01/09"
"obama",13,"08/01/09"
"obama",189,"09/01/09"
"obama",157,"10/01/09"
"obama",67,"11/01/09"
"obama",21,"12/01/09"
"obama",199,"01/01/10"
"obama",19,"02/01/10"
"obama",66,"03/01/10"
"obama",119,"04/01/10"
"obama",50,"05/01/10"
"obama",231,"06/01/10"
"obama",16,"07/01/10"
"obama",155,"08/01/10"
"obama",60,"09/01/10"
"obama",217,"10/01/10"
"obama",4,"11/01/10"
"obama",209,"12/01/10"
"obama",1,"01/01/11"
"obama",147,"03/01/11"
"obama",1,"04/01/11"
"obama",1,"05/01/11"
"obama",1,"06/01/11"
"obama",1,"08/01/11"
"obama",1,"09/01/11"
"obama",1,"01/01/12"
"obama",1,"02/01/12"
"obama",1,"03/01/12"
"obama",2,"04/01/12"
"obama",1,"07/01/12"
"obama",1,"08/01/12"
"obama",34,"09/01/12"
"obama",142,"10/01/12"
"obama",23,"11/01/12"
"obama",2,"12/01/12"
"obama",1,"12/01/14"
"party",1,"01/01/09"
"party",97,"03/01/09"
"party",132,"04/01/09"
"party",154,"05/01/09"
"party",158,"06/01/09"
