"key","value","date"
"arrive",1,"01/01/09"
"arrive",97,"03/01/09"
"arrive",119,"04/01/09"
"arrive",10,"05/01/09"
"arrive",185,"06/01/09"
"arrive",187,"07/01/09"
"arrive",152,"08/01/09"
"arrive",173,"09/01/09"
"arrive",157,"10/01/09"
"arrive",91,"11/01/09"
"arrive",174,"12/01/09"
"arrive",193,"01/01/10"
"arrive",189,"02/01/10"
"arrive",173,"03/01/10"
"arrive",174,"04/01/10"
"arrive",178,"05/01/10"
"arrive",202,"06/01/10"
"arrive",52,"07/01/10"
"arrive",219,"08/01/10"
"arrive",226,"09/01/10"
"arrive",186,"10/01/10"
"arrive",170,"11/01/10"
"arrive",173,"12/01/10"
"arrive",1,"01/01/11"
"arrive",1,"03/01/11"
"arrive",1,"04/01/11"
"arrive",1,"05/01/11"
"arrive",1,"06/01/11"
"arrive",1,"08/01/11"
"arrive",1,"09/01/11"
"arrive",1,"01/01/12"
"arrive",1,"02/01/12"
"arrive",1,"03/01/12"
"arrive",2,"04/01/12"
"arrive",2,"07/01/12"
"arrive",1,"08/01/12"
"arrive",106,"09/01/12"
"arrive",2,"10/01/12"
"arrive",106,"11/01/12"
"arrive",1,"12/01/12"
"arrive",1,"12/01/14"
"depart",1,"01/01/09"
"depart",97,"03/01/09"
"depart",119,"04/01/09"
"depart",10,"05/01/09"
"depart",185,"06/01/09"
"depart",187,"07/01/09"
"depart",152,"08/01/09"
"depart",173,"09/01/09"
"depart",157,"10/01/09"
"depart",91,"11/01/09"
"depart",174,"12/01/09"
"depart",193,"01/01/10"
"depart",189,"02/01/10"
"depart",173,"03/01/10"
"depart",174,"04/01/10"
"depart",178,"05/01/10"
"depart",202,"06/01/10"
"depart",52,"07/01/10"
"depart",219,"08/01/10"
"depart",226,"09/01/10"
"depart",186,"10/01/10"
"depart",170,"11/01/10"
"depart",173,"12/01/10"
"depart",1,"01/01/11"
"depart",1,"03/01/11"
"depart",1,"04/01/11"
"depart",1,"05/01/11"
"depart",1,"06/01/11"
"depart",1,"08/01/11"
"depart",1,"09/01/11"
"depart",1,"01/01/12"
"depart",1,"02/01/12"
"depart",1,"03/01/12"
"depart",2,"04/01/12"
"depart",2,"07/01/12"
"depart",1,"08/01/12"
"depart",106,"09/01/12"
"depart",2,"10/01/12"
"depart",106,"11/01/12"
"depart",1,"12/01/12"
"depart",1,"12/01/14"
"department",1,"01/01/09"
"department",63,"03/01/09"
"department",186,"04/01/09"
"department",102,"05/01/09"
"department",38,"06/01/09"
"department",48,"07/01/09"
"department",30,"08/01/09"
"department",109,"09/01/09"
"department",15,"10/01/09"
"department",15,"11/01/09"
"department",71,"12/01/09"
"department",62,"01/01/10"
"department",76,"02/01/10"
"department",70,"03/01/10"
"department",45,"04/01/10"
"department",78,"05/01/10"
"department",108,"06/01/10"
"department",9,"07/01/10"
"department",121,"08/01/10"
"department",138,"09/01/10"
"department",51,"10/01/10"
"department",30,"11/01/10"
"department",39,"12/01/10"
"department",1,"01/01/11"
"department",172,"03/01/11"
"department",113,"04/01/11"
"department",1,"05/01/11"
"department",23,"06/01/11"
"department",98,"08/01/11"
"department",166,"09/01/11"
"department",1,"01/01/12"
"department",1,"02/01/12"
"department",1,"03/01/12"
"department",137,"04/01/12"
"department",106,"07/01/12"
"department",1,"08/01/12"
"department",190,"09/01/12"
"department",56,"10/01/12"
"department",41,"11/01/12"
"department",177,"12/01/12"
"department",1,"12/01/14"
"meeting",1,"01/01/09"
"meeting",97,"03/01/09"
"meeting",119,"04/01/09"
"meeting",10,"05/01/09"
"meeting",185,"06/01/09"
"meeting",187,"07/01/09"
"meeting",152,"08/01/09"
"meeting",173,"09/01/09"
"meeting",157,"10/01/09"
"meeting",91,"11/01/09"
"meeting",174,"12/01/09"
"meeting",193,"01/01/10"
"meeting",189,"02/01/10"
"meeting",173,"03/01/10"
"meeting",174,"04/01/10"
"meeting",178,"05/01/10"
"meeting",202,"06/01/10"
"meeting",52,"07/01/10"
"meeting",219,"08/01/10"
"meeting",226,"09/01/10"
"meeting",186,"10/01/10"
"meeting",170,"11/01/10"
"meeting",173,"12/01/10"
"meeting",1,"01/01/11"
"meeting",1,"03/01/11"
"meeting",1,"04/01/11"
"meeting",1,"05/01/11"
"meeting",1,"06/01/11"
"meeting",1,"08/01/11"
"meeting",1,"09/01/11"
"meeting",1,"01/01/12"
"meeting",1,"02/01/12"
"meeting",1,"03/01/12"
"meeting",2,"04/01/12"
"meeting",2,"07/01/12"
"meeting",1,"08/01/12"
"meeting",106,"09/01/12"
"meeting",2,"10/01/12"
"meeting",106,"11/01/12"
"meeting",1,"12/01/12"
"meeting",1,"12/01/14"
"office",1,"01/01/09"
"office",97,"03/01/09"
"office",119,"04/01/09"
"office",10,"05/01/09"
"office",185,"06/01/09"
"office",187,"07/01/09"
"office",152,"08/01/09"
"office",173,"09/01/09"
"office",157,"10/01/09"
"office",91,"11/01/09"
"office",174,"12/01/09"
"office",193,"01/01/10"
"office",189,"02/01/10"
"office",173,"03/01/10"
"office",174,"04/01/10"
"office",178,"05/01/10"
"office",202,"06/01/10"
"office",52,"07/01/10"
"office",219,"08/01/10"
"office",226,"09/01/10"
"office",186,"10/01/10"
"office",170,"11/01/10"
"office",173,"12/01/10"
"office",1,"01/01/11"
"office",1,"03/01/11"
"office",1,"04/01/11"
"office",1,"05/01/11"
"office",1,"06/01/11"
"office",1,"08/01/11"
"office",1,"09/01/11"
"office",1,"01/01/12"
"office",1,"02/01/12"
"office",1,"03/01/12"
"office",2,"04/01/12"
"office",2,"07/01/12"
"office",1,"08/01/12"
"office",106,"09/01/12"
"office",2,"10/01/12"
"office",106,"11/01/12"
"office",1,"12/01/12"
"office",1,"12/01/14"
"room",1,"01/01/09"
"room",97,"03/01/09"
"room",119,"04/01/09"
"room",10,"05/01/09"
"room",185,"06/01/09"
"room",187,"07/01/09"
"room",152,"08/01/09"
"room",173,"09/01/09"
"room",157,"10/01/09"
"room",91,"11/01/09"
"room",174,"12/01/09"
"room",193,"01/01/10"
"room",189,"02/01/10"
"room",173,"03/01/10"
"room",174,"04/01/10"
"room",178,"05/01/10"
"room",202,"06/01/10"
"room",52,"07/01/10"
"room",219,"08/01/10"
"room",226,"09/01/10"
"room",186,"10/01/10"
"room",170,"11/01/10"
"room",173,"12/01/10"
"room",1,"01/01/11"
"room",1,"03/01/11"
"room",1,"04/01/11"
"room",1,"05/01/11"
"room",1,"06/01/11"
"room",1,"08/01/11"
"room",1,"09/01/11"
"room",1,"01/01/12"
"room",1,"02/01/12"
"room",1,"03/01/12"
"room",2,"04/01/12"
"room",2,"07/01/12"
"room",1,"08/01/12"
"room",106,"09/01/12"
"room",2,"10/01/12"
"room",106,"11/01/12"
"room",1,"12/01/12"
"room",1,"12/01/14"
"route",1,"01/01/09"
"route",97,"03/01/09"
"route",119,"04/01/09"
"route",10,"05/01/09"
"route",185,"06/01/09"
"route",187,"07/01/09"
"route",152,"08/01/09"
"route",173,"09/01/09"
"route",157,"10/01/09"
"route",91,"11/01/09"
"route",174,"12/01/09"
"route",193,"01/01/10"
"route",189,"02/01/10"
"route",173,"03/01/10"
"route",174,"04/01/10"
"route",178,"05/01/10"
"route",202,"06/01/10"
"route",52,"07/01/10"
"route",219,"08/01/10"
"route",226,"09/01/10"
"route",186,"10/01/10"
"route",170,"11/01/10"
"route",173,"12/01/10"
"route",1,"01/01/11"
"route",1,"03/01/11"
"route",1,"04/01/11"
"route",1,"05/01/11"
"route",1,"06/01/11"
"route",1,"08/01/11"
"route",1,"09/01/11"
"route",1,"01/01/12"
"route",1,"02/01/12"
"route",1,"03/01/12"
"route",2,"04/01/12"
"route",2,"07/01/12"
"route",1,"08/01/12"
"route",106,"09/01/12"
"route",2,"10/01/12"
"route",106,"11/01/12"
"route",1,"12/01/12"
"route",1,"12/01/14"
"secretarys",1,"01/01/09"
"secretarys",97,"03/01/09"
"secretarys",119,"04/01/09"
"secretarys",10,"05/01/09"
"secretarys",185,"06/01/09"
"secretarys",187,"07/01/09"
"secretarys",152,"08/01/09"
"secretarys",173,"09/01/09"
"secretarys",157,"10/01/09"
"secretarys",91,"11/01/09"
"secretarys",174,"12/01/09"
"secretarys",193,"01/01/10"
"secretarys",189,"02/01/10"
"secretarys",173,"03/01/10"
"secretarys",174,"04/01/10"
"secretarys",178,"05/01/10"
"secretarys",202,"06/01/10"
"secretarys",52,"07/01/10"
"secretarys",219,"08/01/10"
"secretarys",226,"09/01/10"
"secretarys",186,"10/01/10"
"secretarys",170,"11/01/10"
"secretarys",173,"12/01/10"
"secretarys",1,"01/01/11"
"secretarys",1,"03/01/11"
"secretarys",1,"04/01/11"
"secretarys",1,"05/01/11"
"secretarys",1,"06/01/11"
"secretarys",1,"08/01/11"
"secretarys",1,"09/01/11"
"secretarys",1,"01/01/12"
"secretarys",1,"02/01/12"
"secretarys",1,"03/01/12"
"secretarys",2,"04/01/12"
"secretarys",2,"07/01/12"
"secretarys",1,"08/01/12"
"secretarys",106,"09/01/12"
"secretarys",2,"10/01/12"
"secretarys",106,"11/01/12"
"secretarys",1,"12/01/12"
"secretarys",1,"12/01/14"
"state",1,"01/01/09"
"state",98,"03/01/09"
"state",193,"04/01/09"
"state",109,"05/01/09"
"state",76,"06/01/09"
"state",59,"07/01/09"
"state",40,"08/01/09"
"state",128,"09/01/09"
"state",35,"10/01/09"
"state",100,"11/01/09"
"state",110,"12/01/09"
"state",81,"01/01/10"
"state",121,"02/01/10"
"state",125,"03/01/10"
"state",60,"04/01/10"
"state",101,"05/01/10"
"state",136,"06/01/10"
"state",43,"07/01/10"
"state",160,"08/01/10"
"state",156,"09/01/10"
"state",95,"10/01/10"
"state",74,"11/01/10"
"state",69,"12/01/10"
"state",1,"01/01/11"
"state",174,"03/01/11"
"state",113,"04/01/11"
"state",1,"05/01/11"
"state",23,"06/01/11"
"state",98,"08/01/11"
"state",166,"09/01/11"
"state",1,"01/01/12"
"state",1,"02/01/12"
"state",1,"03/01/12"
"state",137,"04/01/12"
"state",106,"07/01/12"
"state",1,"08/01/12"
"state",192,"09/01/12"
"state",77,"10/01/12"
"state",51,"11/01/12"
"state",178,"12/01/12"
"state",1,"12/01/14"
