"key","value","date"
"american",1,"01/01/09"
"american",194,"03/01/09"
"american",137,"04/01/09"
"american",144,"05/01/09"
"american",200,"06/01/09"
"american",157,"07/01/09"
"american",152,"08/01/09"
"american",189,"09/01/09"
"american",150,"10/01/09"
"american",68,"11/01/09"
"american",24,"12/01/09"
"american",227,"01/01/10"
"american",216,"02/01/10"
"american",96,"03/01/10"
"american",137,"04/01/10"
"american",101,"05/01/10"
"american",33,"06/01/10"
"american",49,"07/01/10"
"american",123,"08/01/10"
"american",57,"09/01/10"
"american",211,"10/01/10"
"american",36,"11/01/10"
"american",187,"12/01/10"
"american",1,"01/01/11"
"american",147,"03/01/11"
"american",1,"04/01/11"
"american",1,"05/01/11"
"american",1,"06/01/11"
"american",1,"08/01/11"
"american",1,"09/01/11"
"american",1,"01/01/12"
"american",1,"02/01/12"
"american",1,"03/01/12"
"american",1,"04/01/12"
"american",1,"07/01/12"
"american",1,"08/01/12"
"american",150,"09/01/12"
"american",142,"10/01/12"
"american",34,"11/01/12"
"american",97,"12/01/12"
"american",1,"12/01/14"
"david",1,"01/01/09"
"david",97,"03/01/09"
"david",52,"04/01/09"
"david",106,"05/01/09"
"david",106,"06/01/09"
"david",97,"07/01/09"
"david",106,"08/01/09"
"david",34,"09/01/09"
"david",63,"10/01/09"
"david",154,"11/01/09"
"david",3,"12/01/09"
"david",171,"01/01/10"
"david",181,"02/01/10"
"david",4,"03/01/10"
"david",124,"04/01/10"
"david",211,"05/01/10"
"david",171,"06/01/10"
"david",178,"07/01/10"
"david",25,"08/01/10"
"david",26,"09/01/10"
"david",183,"10/01/10"
"david",193,"11/01/10"
"david",119,"12/01/10"
"david",1,"01/01/11"
"david",1,"03/01/11"
"david",1,"04/01/11"
"david",1,"05/01/11"
"david",1,"06/01/11"
"david",1,"08/01/11"
"david",1,"09/01/11"
"david",1,"01/01/12"
"david",1,"02/01/12"
"david",1,"03/01/12"
"david",1,"04/01/12"
"david",1,"07/01/12"
"david",1,"08/01/12"
"david",98,"09/01/12"
"david",2,"10/01/12"
"david",97,"11/01/12"
"david",97,"12/01/12"
"david",1,"12/01/14"
"group",1,"01/01/09"
"group",97,"03/01/09"
"group",44,"04/01/09"
"group",83,"05/01/09"
"group",3,"06/01/09"
"group",97,"07/01/09"
"group",106,"08/01/09"
"group",215,"09/01/09"
"group",215,"10/01/09"
"group",44,"11/01/09"
"group",205,"12/01/09"
"group",161,"01/01/10"
"group",205,"02/01/10"
"group",172,"03/01/10"
"group",225,"04/01/10"
"group",200,"05/01/10"
"group",167,"06/01/10"
"group",163,"07/01/10"
"group",127,"08/01/10"
"group",13,"09/01/10"
"group",194,"10/01/10"
"group",163,"11/01/10"
"group",225,"12/01/10"
"group",1,"01/01/11"
"group",1,"03/01/11"
"group",1,"04/01/11"
"group",1,"05/01/11"
"group",1,"06/01/11"
"group",1,"08/01/11"
"group",1,"09/01/11"
"group",1,"01/01/12"
"group",1,"02/01/12"
"group",1,"03/01/12"
"group",1,"04/01/12"
"group",1,"07/01/12"
"group",1,"08/01/12"
"group",98,"09/01/12"
"group",1,"10/01/12"
"group",2,"11/01/12"
"group",2,"12/01/12"
"group",1,"12/01/14"
"koch",1,"01/01/09"
"koch",97,"03/01/09"
"koch",44,"04/01/09"
"koch",83,"05/01/09"
"koch",3,"06/01/09"
"koch",97,"07/01/09"
"koch",106,"08/01/09"
"koch",215,"09/01/09"
"koch",215,"10/01/09"
"koch",44,"11/01/09"
"koch",205,"12/01/09"
"koch",161,"01/01/10"
"koch",205,"02/01/10"
"koch",172,"03/01/10"
"koch",225,"04/01/10"
"koch",200,"05/01/10"
"koch",167,"06/01/10"
"koch",163,"07/01/10"
"koch",127,"08/01/10"
"koch",13,"09/01/10"
"koch",194,"10/01/10"
"koch",163,"11/01/10"
"koch",225,"12/01/10"
"koch",1,"01/01/11"
"koch",1,"03/01/11"
"koch",1,"04/01/11"
"koch",1,"05/01/11"
"koch",1,"06/01/11"
"koch",1,"08/01/11"
"koch",1,"09/01/11"
"koch",1,"01/01/12"
"koch",1,"02/01/12"
"koch",1,"03/01/12"
"koch",1,"04/01/12"
"koch",1,"07/01/12"
"koch",1,"08/01/12"
"koch",98,"09/01/12"
"koch",1,"10/01/12"
"koch",2,"11/01/12"
"koch",2,"12/01/12"
"koch",1,"12/01/14"
"kochs",1,"01/01/09"
"kochs",97,"03/01/09"
"kochs",44,"04/01/09"
"kochs",83,"05/01/09"
"kochs",3,"06/01/09"
"kochs",97,"07/01/09"
"kochs",106,"08/01/09"
"kochs",215,"09/01/09"
"kochs",215,"10/01/09"
"kochs",44,"11/01/09"
"kochs",205,"12/01/09"
"kochs",161,"01/01/10"
"kochs",205,"02/01/10"
"kochs",172,"03/01/10"
"kochs",225,"04/01/10"
"kochs",200,"05/01/10"
"kochs",167,"06/01/10"
"kochs",163,"07/01/10"
"kochs",127,"08/01/10"
"kochs",13,"09/01/10"
"kochs",194,"10/01/10"
"kochs",163,"11/01/10"
"kochs",225,"12/01/10"
"kochs",1,"01/01/11"
"kochs",1,"03/01/11"
"kochs",1,"04/01/11"
"kochs",1,"05/01/11"
