"key","value","date"
"back",1,"01/01/09"
"back",194,"03/01/09"
"back",52,"04/01/09"
"back",191,"05/01/09"
"back",170,"06/01/09"
"back",163,"07/01/09"
"back",228,"08/01/09"
"back",185,"09/01/09"
"back",186,"10/01/09"
"back",177,"11/01/09"
"back",217,"12/01/09"
"back",185,"01/01/10"
"back",195,"02/01/10"
"back",180,"03/01/10"
"back",180,"04/01/10"
"back",157,"05/01/10"
"back",163,"06/01/10"
"back",127,"07/01/10"
"back",176,"08/01/10"
"back",144,"09/01/10"
"back",148,"10/01/10"
"back",142,"11/01/10"
"back",63,"12/01/10"
"back",1,"01/01/11"
"back",1,"03/01/11"
"back",1,"04/01/11"
"back",1,"05/01/11"
"back",1,"06/01/11"
"back",1,"08/01/11"
"back",1,"09/01/11"
"back",1,"01/01/12"
"back",1,"02/01/12"
"back",1,"03/01/12"
"back",2,"04/01/12"
"back",1,"07/01/12"
"back",1,"08/01/12"
"back",23,"09/01/12"
"back",194,"10/01/12"
"back",97,"11/01/12"
"back",147,"12/01/12"
"back",1,"12/01/14"
"call",1,"01/01/09"
"call",194,"03/01/09"
"call",52,"04/01/09"
"call",191,"05/01/09"
"call",170,"06/01/09"
"call",163,"07/01/09"
"call",228,"08/01/09"
"call",185,"09/01/09"
"call",186,"10/01/09"
"call",177,"11/01/09"
"call",217,"12/01/09"
"call",185,"01/01/10"
"call",195,"02/01/10"
"call",180,"03/01/10"
"call",180,"04/01/10"
"call",157,"05/01/10"
"call",163,"06/01/10"
"call",127,"07/01/10"
"call",176,"08/01/10"
"call",144,"09/01/10"
"call",148,"10/01/10"
"call",142,"11/01/10"
"call",63,"12/01/10"
"call",1,"01/01/11"
"call",1,"03/01/11"
"call",1,"04/01/11"
"call",1,"05/01/11"
"call",1,"06/01/11"
"call",1,"08/01/11"
"call",1,"09/01/11"
"call",1,"01/01/12"
"call",1,"02/01/12"
"call",1,"03/01/12"
"call",2,"04/01/12"
"call",1,"07/01/12"
"call",1,"08/01/12"
"call",23,"09/01/12"
"call",194,"10/01/12"
"call",97,"11/01/12"
"call",147,"12/01/12"
"call",1,"12/01/14"
"cheryl",1,"01/01/09"
"cheryl",194,"03/01/09"
"cheryl",52,"04/01/09"
"cheryl",191,"05/01/09"
"cheryl",170,"06/01/09"
"cheryl",163,"07/01/09"
"cheryl",228,"08/01/09"
"cheryl",185,"09/01/09"
"cheryl",186,"10/01/09"
"cheryl",177,"11/01/09"
"cheryl",217,"12/01/09"
"cheryl",185,"01/01/10"
"cheryl",195,"02/01/10"
"cheryl",180,"03/01/10"
"cheryl",180,"04/01/10"
"cheryl",157,"05/01/10"
"cheryl",163,"06/01/10"
"cheryl",127,"07/01/10"
"cheryl",176,"08/01/10"
"cheryl",144,"09/01/10"
"cheryl",148,"10/01/10"
"cheryl",142,"11/01/10"
"cheryl",63,"12/01/10"
"cheryl",1,"01/01/11"
"cheryl",1,"03/01/11"
"cheryl",1,"04/01/11"
"cheryl",1,"05/01/11"
"cheryl",1,"06/01/11"
"cheryl",1,"08/01/11"
"cheryl",1,"09/01/11"
"cheryl",1,"01/01/12"
"cheryl",1,"02/01/12"
"cheryl",1,"03/01/12"
"cheryl",2,"04/01/12"
"cheryl",1,"07/01/12"
"cheryl",1,"08/01/12"
"cheryl",23,"09/01/12"
"cheryl",194,"10/01/12"
"cheryl",97,"11/01/12"
"cheryl",147,"12/01/12"
"cheryl",1,"12/01/14"
"fyi",1,"01/01/09"
"fyi",194,"03/01/09"
"fyi",52,"04/01/09"
"fyi",191,"05/01/09"
"fyi",170,"06/01/09"
"fyi",163,"07/01/09"
"fyi",228,"08/01/09"
"fyi",185,"09/01/09"
"fyi",186,"10/01/09"
"fyi",177,"11/01/09"
"fyi",217,"12/01/09"
"fyi",185,"01/01/10"
"fyi",195,"02/01/10"
"fyi",180,"03/01/10"
"fyi",180,"04/01/10"
"fyi",157,"05/01/10"
"fyi",163,"06/01/10"
"fyi",127,"07/01/10"
"fyi",176,"08/01/10"
"fyi",144,"09/01/10"
"fyi",148,"10/01/10"
"fyi",142,"11/01/10"
"fyi",63,"12/01/10"
"fyi",1,"01/01/11"
"fyi",1,"03/01/11"
"fyi",1,"04/01/11"
"fyi",1,"05/01/11"
"fyi",1,"06/01/11"
"fyi",1,"08/01/11"
"fyi",1,"09/01/11"
"fyi",1,"01/01/12"
"fyi",1,"02/01/12"
