"key","value","date"
"agreement",1,"01/01/09"
"agreement",205,"03/01/09"
"agreement",63,"04/01/09"
"agreement",178,"05/01/09"
"agreement",167,"06/01/09"
"agreement",172,"07/01/09"
"agreement",176,"08/01/09"
"agreement",220,"09/01/09"
"agreement",161,"10/01/09"
"agreement",174,"11/01/09"
"agreement",196,"12/01/09"
"agreement",180,"01/01/10"
"agreement",191,"02/01/10"
"agreement",196,"03/01/10"
"agreement",176,"04/01/10"
"agreement",198,"05/01/10"
"agreement",207,"06/01/10"
"agreement",173,"07/01/10"
"agreement",211,"08/01/10"
"agreement",226,"09/01/10"
"agreement",176,"10/01/10"
"agreement",170,"11/01/10"
"agreement",173,"12/01/10"
"agreement",1,"01/01/11"
"agreement",113,"03/01/11"
"agreement",13,"04/01/11"
"agreement",1,"05/01/11"
"agreement",194,"06/01/11"
"agreement",3,"08/01/11"
"agreement",97,"09/01/11"
"agreement",1,"01/01/12"
"agreement",1,"02/01/12"
"agreement",1,"03/01/12"
"agreement",34,"04/01/12"
"agreement",3,"07/01/12"
"agreement",1,"08/01/12"
"agreement",140,"09/01/12"
"agreement",211,"10/01/12"
"agreement",191,"11/01/12"
"agreement",124,"12/01/12"
"agreement",1,"12/01/14"
"benghazi",1,"01/01/09"
"benghazi",205,"03/01/09"
"benghazi",63,"04/01/09"
"benghazi",178,"05/01/09"
"benghazi",167,"06/01/09"
"benghazi",172,"07/01/09"
"benghazi",176,"08/01/09"
"benghazi",220,"09/01/09"
"benghazi",161,"10/01/09"
"benghazi",174,"11/01/09"
"benghazi",196,"12/01/09"
"benghazi",180,"01/01/10"
"benghazi",191,"02/01/10"
"benghazi",196,"03/01/10"
"benghazi",176,"04/01/10"
"benghazi",198,"05/01/10"
"benghazi",207,"06/01/10"
"benghazi",173,"07/01/10"
"benghazi",211,"08/01/10"
"benghazi",226,"09/01/10"
"benghazi",176,"10/01/10"
"benghazi",170,"11/01/10"
"benghazi",173,"12/01/10"
"benghazi",1,"01/01/11"
"benghazi",113,"03/01/11"
"benghazi",13,"04/01/11"
"benghazi",1,"05/01/11"
"benghazi",194,"06/01/11"
"benghazi",3,"08/01/11"
"benghazi",97,"09/01/11"
"benghazi",1,"01/01/12"
"benghazi",1,"02/01/12"
"benghazi",1,"03/01/12"
"benghazi",34,"04/01/12"
"benghazi",3,"07/01/12"
"benghazi",1,"08/01/12"
"benghazi",140,"09/01/12"
"benghazi",211,"10/01/12"
"benghazi",191,"11/01/12"
"benghazi",124,"12/01/12"
