"key","value","date"
"china",1,"01/01/09"
"china",13,"03/01/09"
"china",98,"04/01/09"
"china",191,"05/01/09"
"china",214,"06/01/09"
"china",187,"07/01/09"
"china",189,"08/01/09"
"china",25,"09/01/09"
"china",189,"10/01/09"
"china",41,"11/01/09"
"china",14,"12/01/09"
"china",204,"01/01/10"
"china",24,"02/01/10"
"china",45,"03/01/10"
"china",199,"04/01/10"
"china",227,"05/01/10"
"china",33,"06/01/10"
"china",214,"07/01/10"
"china",108,"08/01/10"
"china",69,"09/01/10"
"china",232,"10/01/10"
"china",222,"11/01/10"
"china",211,"12/01/10"
"china",1,"01/01/11"
"china",124,"03/01/11"
"china",13,"04/01/11"
"china",1,"05/01/11"
"china",194,"06/01/11"
"china",3,"08/01/11"
"china",97,"09/01/11"
"china",1,"01/01/12"
"china",1,"02/01/12"
"china",1,"03/01/12"
"china",34,"04/01/12"
"china",3,"07/01/12"
"china",1,"08/01/12"
"china",143,"09/01/12"
"china",233,"10/01/12"
"china",206,"11/01/12"
"china",127,"12/01/12"
"china",1,"12/01/14"
"department",1,"01/01/09"
"department",63,"03/01/09"
"department",186,"04/01/09"
"department",102,"05/01/09"
"department",38,"06/01/09"
"department",48,"07/01/09"
"department",30,"08/01/09"
"department",109,"09/01/09"
"department",15,"10/01/09"
"department",15,"11/01/09"
"department",71,"12/01/09"
"department",62,"01/01/10"
"department",76,"02/01/10"
"department",70,"03/01/10"
"department",45,"04/01/10"
"department",78,"05/01/10"
"department",108,"06/01/10"
"department",9,"07/01/10"
"department",121,"08/01/10"
"department",138,"09/01/10"
"department",51,"10/01/10"
"department",30,"11/01/10"
"department",39,"12/01/10"
"department",1,"01/01/11"
"department",172,"03/01/11"
"department",113,"04/01/11"
"department",1,"05/01/11"
"department",23,"06/01/11"
"department",98,"08/01/11"
"department",166,"09/01/11"
"department",1,"01/01/12"
"department",1,"02/01/12"
"department",1,"03/01/12"
"department",137,"04/01/12"
"department",106,"07/01/12"
"department",1,"08/01/12"
"department",190,"09/01/12"
"department",56,"10/01/12"
"department",41,"11/01/12"
"department",177,"12/01/12"
"department",1,"12/01/14"
"development",1,"01/01/09"
"development",205,"03/01/09"
"development",63,"04/01/09"
"development",178,"05/01/09"
"development",167,"06/01/09"
"development",172,"07/01/09"
"development",176,"08/01/09"
"development",220,"09/01/09"
"development",161,"10/01/09"
"development",174,"11/01/09"
"development",196,"12/01/09"
