"key","value","date"
"government",97,"11/01/12"
"government",97,"12/01/12"
"government",1,"12/01/14"
"house",1,"01/01/09"
"house",34,"03/01/09"
"house",186,"04/01/09"
"house",84,"05/01/09"
"house",62,"06/01/09"
"house",37,"07/01/09"
"house",226,"08/01/09"
"house",89,"09/01/09"
"house",16,"10/01/09"
"house",120,"11/01/09"
"house",117,"12/01/09"
"house",81,"01/01/10"
"house",139,"02/01/10"
"house",131,"03/01/10"
"house",35,"04/01/10"
"house",93,"05/01/10"
"house",104,"06/01/10"
"house",57,"07/01/10"
"house",184,"08/01/10"
"house",164,"09/01/10"
"house",115,"10/01/10"
"house",92,"11/01/10"
"house",65,"12/01/10"
"house",1,"01/01/11"
"house",124,"03/01/11"
"house",13,"04/01/11"
"house",1,"05/01/11"
"house",194,"06/01/11"
"house",3,"08/01/11"
"house",97,"09/01/11"
"house",1,"01/01/12"
"house",1,"02/01/12"
"house",1,"03/01/12"
"house",52,"04/01/12"
"house",13,"07/01/12"
"house",1,"08/01/12"
"house",151,"09/01/12"
"house",235,"10/01/12"
"house",228,"11/01/12"
"house",132,"12/01/12"
"house",1,"12/01/14"
"labour",1,"01/01/09"
"labour",1,"03/01/09"
"labour",2,"04/01/09"
"labour",147,"05/01/09"
"labour",13,"06/01/09"
"labour",1,"07/01/09"
"labour",1,"08/01/09"
"labour",179,"09/01/09"
"labour",215,"10/01/09"
"labour",98,"11/01/09"
"labour",147,"12/01/09"
"labour",179,"01/01/10"
"labour",172,"02/01/10"
"labour",187,"03/01/10"
"labour",52,"04/01/10"
"labour",13,"05/01/10"
"labour",147,"06/01/10"
"labour",3,"07/01/10"
"labour",232,"08/01/10"
"labour",15,"09/01/10"
"labour",176,"10/01/10"
"labour",98,"11/01/10"
"labour",44,"12/01/10"
"labour",1,"01/01/11"
"labour",1,"03/01/11"
"labour",1,"04/01/11"
"labour",1,"05/01/11"
"labour",1,"06/01/11"
"labour",1,"08/01/11"
"labour",1,"09/01/11"
"labour",1,"01/01/12"
"labour",1,"02/01/12"
"labour",1,"03/01/12"
"labour",1,"04/01/12"
"labour",1,"07/01/12"
"labour",1,"08/01/12"
"labour",1,"09/01/12"
"labour",2,"10/01/12"
"labour",2,"11/01/12"
"labour",2,"12/01/12"
"labour",1,"12/01/14"
"party",1,"01/01/09"
"party",97,"03/01/09"
"party",132,"04/01/09"
"party",154,"05/01/09"
"party",158,"06/01/09"
"party",119,"07/01/09"
"party",113,"08/01/09"
"party",148,"09/01/09"
"party",142,"10/01/09"
"party",227,"11/01/09"
"party",213,"12/01/09"
"party",223,"01/01/10"
"party",5,"02/01/10"
"party",19,"03/01/10"
"party",144,"04/01/10"
"party",22,"05/01/10"
"party",181,"06/01/10"
"party",235,"07/01/10"
"party",134,"08/01/10"
"party",54,"09/01/10"
"party",213,"10/01/10"
"party",4,"11/01/10"
"party",180,"12/01/10"
"party",1,"01/01/11"
"party",1,"03/01/11"
"party",1,"04/01/11"
"party",1,"05/01/11"
"party",1,"06/01/11"
"party",1,"08/01/11"
"party",1,"09/01/11"
"party",1,"01/01/12"
"party",1,"02/01/12"
"party",1,"03/01/12"
"party",2,"04/01/12"
"party",1,"07/01/12"
"party",1,"08/01/12"
"party",113,"09/01/12"
"party",2,"10/01/12"
"party",97,"11/01/12"
"party",97,"12/01/12"
"party",1,"12/01/14"
"support",1,"01/01/09"
"support",205,"03/01/09"
"support",72,"04/01/09"
"support",182,"05/01/09"
"support",181,"06/01/09"
"support",172,"07/01/09"
"support",176,"08/01/09"
"support",224,"09/01/09"
"support",174,"10/01/09"
"support",201,"11/01/09"
"support",199,"12/01/09"
"support",186,"01/01/10"
"support",6,"02/01/10"
"support",20,"03/01/10"
"support",197,"04/01/10"
"support",209,"05/01/10"
"support",210,"06/01/10"
"support",186,"07/01/10"
"support",75,"08/01/10"
"support",99,"09/01/10"
"support",230,"10/01/10"
"support",197,"11/01/10"
"support",193,"12/01/10"
"support",1,"01/01/11"
"support",113,"03/01/11"
"support",13,"04/01/11"
"support",1,"05/01/11"
"support",194,"06/01/11"
"support",3,"08/01/11"
"support",97,"09/01/11"
"support",1,"01/01/12"
"support",1,"02/01/12"
"support",1,"03/01/12"
"support",34,"04/01/12"
"support",3,"07/01/12"
"support",1,"08/01/12"
"support",140,"09/01/12"
"support",212,"10/01/12"
"support",193,"11/01/12"
"support",127,"12/01/12"
"support",1,"12/01/14"
